node_id,lon,lat,built,fast,slow,total
48549,114.2714209,22.37561707,True,6,3,9
48313,113.9758511,22.39769446,True,25,5,30
39378,114.0324716,22.45215311,False,0,0,0
44125,114.0321846,22.44924706,False,0,0,0
48181,114.2252157,22.31730965,False,0,0,0
23056,114.0029757,22.44952029,False,0,0,0
44988,114.1996955,22.4162745,True,11,16,27
47786,114.14063,22.48614181,True,3,19,22
50163,114.0614558,22.36719537,True,25,13,38
20035,114.2309763,22.30717558,False,0,0,0
50492,114.1600131,22.3290283,True,20,3,23
44488,114.20988,22.34072426,True,25,11,36
42863,114.1794007,22.36399552,True,7,23,30
19602,114.011074,22.44048804,True,25,11,36
33815,114.2687095,22.42698675,True,22,14,36
31523,114.2138172,22.41632889,True,25,17,42
49109,114.1401853,22.32265597,True,25,7,32
44822,114.2412036,22.43323611,False,0,0,0
30371,114.1872361,22.38073184,True,25,3,28
18006,114.2505515,22.32744673,True,9,17,26
39280,114.1388662,22.36404445,True,23,10,33
31062,114.1665914,22.44251331,True,17,3,20
1938,114.1845643,22.27744278,False,0,0,0
40307,114.2326668,22.26777598,False,0,0,0
50701,114.0899515,22.36110171,False,0,0,0
39816,114.2738361,22.29698668,True,12,9,21
46882,114.2745616,22.28727479,True,17,25,42
43086,114.162168,22.42433195,True,25,17,42
28714,114.1699978,22.37445879,False,0,0,0
48211,114.2469309,22.3551448,False,0,0,0
48613,114.2734372,22.37681456,True,11,11,22
24942,114.1743094,22.36196774,True,13,3,16
43331,114.1730701,22.37994871,True,3,13,16
43097,114.2641902,22.38877686,True,4,22,26
37401,114.178584,22.37357622,True,23,17,40
43254,114.1967777,22.40160613,True,17,14,31
12231,114.1180877,22.3718511,True,3,25,28
5368,114.1879996,22.39071465,True,25,5,30
40986,114.0718808,22.47720601,True,25,13,38
37189,114.1258621,22.44037363,True,7,21,28
22000,114.0989153,22.50220338,True,10,16,26
22605,113.9775179,22.39234826,True,14,3,17
9267,114.1717324,22.37750461,True,8,3,11
42055,114.0352572,22.45227409,True,21,10,31
6855,114.0183739,22.46391283,False,0,0,0
43176,114.1091937,22.5108762,False,0,0,0
43648,114.2135209,22.45700177,False,0,0,0
45019,114.1759563,22.36214537,False,0,0,0
22287,114.195118,22.34927332,True,11,16,27
50273,114.1231313,22.36588972,True,21,10,31
44548,114.2145887,22.33741121,False,0,0,0
34636,114.195381,22.34280941,True,9,3,12
43102,114.1024611,22.49177603,True,8,4,12
16456,114.1304018,22.37823977,True,21,19,40
41189,113.99754,22.42684413,False,0,0,0
47442,114.1227877,22.37875352,True,25,11,36
46834,114.1614905,22.32251636,False,0,0,0
26122,114.194141,22.3411712,True,21,17,38
46637,114.1605681,22.32412235,False,0,0,0
41180,114.066716,22.47269976,True,20,3,23
2790,114.1281011,22.34341486,True,16,6,22
43232,114.1468367,22.50907429,False,0,0,0
42039,114.0359061,22.43534397,True,3,15,18
42750,114.1945201,22.34674741,False,0,0,0
43826,114.130654,22.50074402,False,0,0,0
8045,114.1080336,22.39512087,True,13,25,38
41639,114.1098717,22.34299575,False,0,0,0
33063,114.1618025,22.50298943,True,13,23,36
44022,114.1754223,22.3087882,False,0,0,0
25978,114.1927927,22.34088875,False,0,0,0
28949,114.197101,22.38243944,True,10,10,20
48757,113.97237,22.39989574,True,24,12,36
19736,114.1872423,22.33248167,False,0,0,0
27009,114.1916829,22.34431902,False,0,0,0
21122,114.2383494,22.31088321,True,11,3,14
35784,113.976016,22.38500341,False,0,0,0
42061,114.0169024,22.43233021,True,25,8,33
44733,114.2112667,22.34200027,True,6,25,31
17381,114.1571048,22.33785021,True,6,12,18
5359,114.1501518,22.33931377,False,0,0,0
46850,114.2185499,22.3950494,True,3,20,23
43228,114.1011532,22.48458167,True,8,21,29
22034,114.1613332,22.3300386,True,13,7,20
41092,114.0441737,22.47095469,True,21,22,43
43971,114.0233743,22.43002653,False,0,0,0
43183,114.1799223,22.50767691,False,0,0,0
41719,114.2291549,22.29939157,False,0,0,0
19266,114.1719671,22.30615393,True,25,25,50
41487,114.0472997,22.42395457,True,23,8,31
42430,114.1929888,22.33346544,True,3,7,10
41733,114.1550111,22.3292765,True,10,3,13
43429,114.0984695,22.49478884,True,18,18,36
41186,114.0058444,22.48574549,False,0,0,0
41244,114.1373355,22.35200293,True,17,18,35
48351,114.3279867,22.45994753,False,0,0,0
39901,114.1384916,22.25653307,False,0,0,0
19482,114.1816905,22.34265573,True,12,14,26
42602,114.1729179,22.25157397,True,8,8,16
31883,114.1307648,22.27221352,False,0,0,0
37370,114.2163193,22.52415817,True,14,3,17
26042,114.1090132,22.37841676,True,13,17,30
43932,113.9718257,22.41409299,True,20,8,28
41968,114.0283779,22.44514554,False,0,0,0
41306,114.0719149,22.41853985,False,0,0,0
41636,114.1419099,22.37307209,True,18,3,21
48309,114.1288177,22.31951169,True,8,19,27
13057,114.1261967,22.50672024,False,0,0,0
45844,114.2564021,22.32213899,False,0,0,0
8913,114.1803678,22.46525546,True,3,25,28
41397,114.1356438,22.35035657,True,13,24,37
42724,114.0764919,22.4479437,True,7,20,27
4694,114.1281454,22.28147568,True,10,8,18
42092,114.1392222,22.37052754,True,22,3,25
16395,114.1247432,22.36300013,False,0,0,0
11945,114.0292696,22.4438534,True,14,22,36
44025,114.1532652,22.34115145,False,0,0,0
39206,113.9829131,22.38002572,True,16,9,25
16157,114.1385448,22.3718923,True,25,10,35
51106,114.1084638,22.42719055,False,0,0,0
4295,114.1413364,22.28033392,True,15,25,40
24071,114.1361251,22.49290277,True,19,7,26
43328,114.3214416,22.40779493,True,12,3,15
15983,114.1764904,22.31107008,True,3,3,6
29620,114.023942,22.44762525,True,6,7,13
33523,114.0809207,22.48931746,False,0,0,0
39133,114.1593581,22.45401131,True,14,5,19
50401,114.1226197,22.38312138,False,0,0,0
42390,114.0548038,22.44224134,True,11,23,34
31401,114.2098414,22.39624557,True,16,14,30
45004,114.1605003,22.44246311,True,25,11,36
31394,114.1488156,22.46379527,True,3,24,27
36981,114.1881444,22.40010059,True,23,25,48
42571,114.1319501,22.26193543,True,3,25,28
8504,114.1072958,22.35448024,True,15,25,40
19254,114.2294497,22.27887605,False,0,0,0
44652,114.2630527,22.33307172,True,25,7,32
38473,114.1308047,22.26890675,True,3,21,24
45186,114.1856456,22.27925418,True,22,11,33
42589,114.1342119,22.2622601,True,11,3,14
49345,114.2119823,22.42496257,True,6,3,9
44039,114.2347767,22.31737946,False,0,0,0
33385,114.1815502,22.30910305,False,0,0,0
42642,114.1521255,22.5333459,True,20,23,43
14204,114.1273777,22.35954449,True,21,19,40
42560,114.061404,22.44858252,True,15,22,37
46304,114.2076962,22.32079064,True,18,10,28
44826,114.044715,22.44212712,False,0,0,0
33970,114.227844,22.32292099,True,18,7,25
27924,114.0160897,22.41379581,True,19,25,44
727,114.1060874,22.37554905,True,25,16,41
3119,114.1422743,22.28647314,True,10,17,27
43168,114.1041238,22.52737218,True,20,22,42
30271,114.1739373,22.30869353,False,0,0,0
48071,114.1847429,22.27982784,True,13,22,35
47508,114.1829909,22.31932674,True,3,16,19
49000,114.1431331,22.28298258,True,25,10,35
50345,114.2177964,22.21558694,True,22,5,27
46840,114.1336992,22.25473632,False,0,0,0
44553,114.2132671,22.33950078,False,0,0,0
44396,114.2017047,22.29209069,True,6,11,17
26112,114.167594,22.34205118,True,15,10,25
44579,113.9823071,22.40534674,True,7,25,32
43089,114.1630817,22.43028294,True,19,25,44
46010,114.2074596,22.32543318,True,3,8,11
44042,114.2360422,22.29933067,False,0,0,0
44365,114.2217574,22.33170862,False,0,0,0
48432,114.2955622,22.27428328,False,0,0,0
44522,114.1252328,22.28128177,True,10,8,18
39307,113.9810457,22.4233787,False,0,0,0
48784,114.0276149,22.44393029,True,12,13,25
40980,113.9431652,22.42702699,False,0,0,0
7043,114.1882932,22.26590715,False,0,0,0
9219,114.1109767,22.3703403,True,13,11,24
44035,114.2298291,22.3207002,True,11,25,36
40318,114.2128816,22.28095709,True,13,17,30
30380,114.1806704,22.38043333,False,0,0,0
14895,114.1864051,22.31354839,True,3,20,23
10645,114.1446294,22.50226905,True,11,25,36
44550,114.2140822,22.33833604,True,18,10,28
43172,114.1750993,22.5024133,False,0,0,0
49268,114.1119739,22.37286347,True,11,9,20
14431,114.2179356,22.33136772,True,24,25,49
23978,114.2063177,22.32943542,True,21,25,46
20819,114.1869799,22.31796132,True,18,5,23
4526,114.1681532,22.44696328,False,0,0,0
16273,114.2349476,22.26626558,True,3,15,18
46340,114.2047546,22.33211377,True,12,20,32
23510,114.188416,22.33747714,False,0,0,0
42408,114.1966691,22.27163709,False,0,0,0
48378,114.2282262,22.28150987,True,24,20,44
36563,114.2313837,22.26056147,True,11,8,19
